# time NacFx NacFy NacFz NacMx NacMy NacMz HubFx HubFy HubFz HubMx HubMy HubMz TwrFx TwrFy TwrFz TwrMx TwrMy TwrMz BldFx BldFy BldFz BldMx BldMy BldMz TotFx TotFy TotFz TotMx TotMy TotMz
53.770000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4274827500e+06 -1.1626235352e+04 1.7916091797e+04 3.0988520284e+07 3.4117560931e+08 1.6190684722e+06 3.1370923676e+04 6.6299386978e+01 -1.9541854420e+03 -4.9916149591e+03 2.0303784984e+06 0.0000000000e+00 5.1073451233e-03 1.1612758636e-05 -4.9499034405e-04 -1.2921039565e-03 7.1027071351e-01 -7.8479325270e-05 2.4588536788e+06 -1.1559935953e+04 1.5961905860e+04 3.0983528668e+07 3.4320598852e+08 1.6190684721e+06
53.770000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4274827500e+06 -1.1626235352e+04 1.7916091797e+04 3.0988520284e+07 3.4117560931e+08 1.6190684722e+06 3.1370923676e+04 6.6299386978e+01 -1.9541854420e+03 -4.9916149591e+03 2.0303784984e+06 0.0000000000e+00 5.1073451233e-03 1.1612758636e-05 -4.9499034405e-04 -1.2921039565e-03 7.1027071351e-01 -7.8479325270e-05 2.4588536788e+06 -1.1559935953e+04 1.5961905860e+04 3.0983528668e+07 3.4320598852e+08 1.6190684721e+06
53.780000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4274867500e+06 -1.1482121094e+04 1.8051669922e+04 3.0965941665e+07 3.4120572421e+08 1.5708124051e+06 3.1368087646e+04 6.6519311547e+01 -1.9542665024e+03 -4.9959842981e+03 2.0302206233e+06 0.0000000000e+00 5.1070506287e-03 1.1835727692e-05 -4.9481292725e-04 -1.3231598987e-03 7.1022899858e-01 -7.7974625963e-05 2.4588548428e+06 -1.1415601770e+04 1.6097402925e+04 3.0960945680e+07 3.4323594554e+08 1.5708124050e+06
53.780000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4274867500e+06 -1.1482121094e+04 1.8051669922e+04 3.0965941665e+07 3.4120572421e+08 1.5708124051e+06 3.1368087646e+04 6.6519311547e+01 -1.9542665024e+03 -4.9959842981e+03 2.0302206233e+06 0.0000000000e+00 5.1070506287e-03 1.1835727692e-05 -4.9481292725e-04 -1.3231598987e-03 7.1022899858e-01 -7.7974625963e-05 2.4588548428e+06 -1.1415601770e+04 1.6097402925e+04 3.0960945680e+07 3.4323594554e+08 1.5708124050e+06
53.790000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4274875000e+06 -1.1294559570e+04 1.8224199219e+04 3.0931803773e+07 3.4124145385e+08 1.5072274132e+06 3.1365241516e+04 6.6734114349e+01 -1.9543461418e+03 -4.9998776420e+03 2.0300622121e+06 0.0000000000e+00 5.1067704773e-03 1.2113294601e-05 -4.9459777355e-04 -1.3618342653e-03 7.1018907789e-01 -7.7421004619e-05 2.4588527466e+06 -1.1227825444e+04 1.6269852582e+04 3.0926803894e+07 3.4327151678e+08 1.5072274131e+06
53.790000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4274875000e+06 -1.1294559570e+04 1.8224199219e+04 3.0931803773e+07 3.4124145385e+08 1.5072274132e+06 3.1365241516e+04 6.6734114349e+01 -1.9543461418e+03 -4.9998776420e+03 2.0300622121e+06 0.0000000000e+00 5.1067704773e-03 1.2113294601e-05 -4.9459777355e-04 -1.3618342653e-03 7.1018907789e-01 -7.7421004619e-05 2.4588527466e+06 -1.1227825444e+04 1.6269852582e+04 3.0926803894e+07 3.4327151678e+08 1.5072274131e+06
53.800000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4270672500e+06 -1.1267725586e+04 1.8258798828e+04 3.0926168607e+07 3.4119211198e+08 1.4963688036e+06 3.1362391510e+04 6.6944323957e+01 -1.9544247437e+03 -5.0033369488e+03 2.0299036275e+06 0.0000000000e+00 5.1064369202e-03 1.2153396606e-05 -4.9450566769e-04 -1.3674604427e-03 7.1014234251e-01 -7.7424673256e-05 2.4584296466e+06 -1.1200781250e+04 1.6304373590e+04 3.0921165269e+07 3.4322201632e+08 1.4963688035e+06
53.800000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4270672500e+06 -1.1267725586e+04 1.8258798828e+04 3.0926168607e+07 3.4119211198e+08 1.4963688036e+06 3.1362391510e+04 6.6944323957e+01 -1.9544247437e+03 -5.0033369488e+03 2.0299036275e+06 0.0000000000e+00 5.1064369202e-03 1.2153396606e-05 -4.9450566769e-04 -1.3674604427e-03 7.1014234251e-01 -7.7424673256e-05 2.4584296466e+06 -1.1200781250e+04 1.6304373590e+04 3.0921165269e+07 3.4322201632e+08 1.4963688035e+06
53.810000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4268835000e+06 -1.1176162109e+04 1.8350677734e+04 3.0911735644e+07 3.4118646686e+08 1.4635380830e+06 3.1359534149e+04 6.7150419831e+01 -1.9545020390e+03 -5.0064016067e+03 2.0297446847e+06 0.0000000000e+00 5.1061241150e-03 1.2287244797e-05 -4.9435914993e-04 -1.3861525014e-03 7.1009820196e-01 -7.7281964778e-05 2.4582430393e+06 -1.1109011677e+04 1.6396175201e+04 3.0906729241e+07 3.4321621226e+08 1.4635380829e+06
53.810000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4268835000e+06 -1.1176162109e+04 1.8350677734e+04 3.0911735644e+07 3.4118646686e+08 1.4635380830e+06 3.1359534149e+04 6.7150419831e+01 -1.9545020390e+03 -5.0064016067e+03 2.0297446847e+06 0.0000000000e+00 5.1061241150e-03 1.2287244797e-05 -4.9435914993e-04 -1.3861525014e-03 7.1009820196e-01 -7.7281964778e-05 2.4582430393e+06 -1.1109011677e+04 1.6396175201e+04 3.0906729241e+07 3.4321621226e+08 1.4635380829e+06
53.820000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4266342500e+06 -1.1085000977e+04 1.8437046875e+04 3.0894442385e+07 3.4117211930e+08 1.4324968769e+06 3.1356676147e+04 6.7352932513e+01 -1.9545785446e+03 -5.0091163685e+03 2.0295858528e+06 0.0000000000e+00 5.1058142090e-03 1.2421274185e-05 -4.9420890093e-04 -1.4048714979e-03 7.1005445583e-01 -7.7148226914e-05 2.4579909313e+06 -1.1017648032e+04 1.6482467836e+04 3.0889433267e+07 3.4320170586e+08 1.4324968768e+06
